epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.1146,0.7457,0.3626,0.9167,0.9133
2,0.3256,0.9057,0.2266,0.9533,0.9542
3,0.2228,0.9357,0.2655,0.9333,0.9347
4,0.1296,0.9686,0.1115,0.95,0.9541
5,0.198,0.9379,0.1329,0.97,0.975
6,0.0855,0.9736,0.1222,0.9667,0.9709
7,0.0898,0.9629,0.0886,0.9633,0.9667
8,0.0621,0.9786,0.0835,0.98,0.982
9,0.0392,0.9829,0.0985,0.9667,0.9709
10,0.0323,0.9843,0.1031,0.97,0.9736
11,0.0745,0.9786,0.122,0.97,0.9722
12,0.074,0.9736,0.1103,0.97,0.9736
13,0.0594,0.9843,0.1072,0.9667,0.9708
14,0.0317,0.9864,0.0867,0.9633,0.968
15,0.0329,0.9879,0.0987,0.9667,0.9708
