epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5519,1.70891,2.92107,1.61129,0.17632,0.20341,0.13396,0.06184,2.17832,5.26471,1.98228,0.000474772,0.000474772,0.000474772
2,41.915,1.72423,2.50606,1.61928,0.23759,0.23359,0.20273,0.10296,2.06404,3.51282,1.97791,0.000932273,0.000932273,0.000932273
3,62.1394,1.72942,2.37389,1.60952,0.21195,0.2235,0.18749,0.08866,2.10479,3.49924,1.93303,0.00137091,0.00137091,0.00137091
4,82.2055,1.71378,2.28994,1.61069,0.24789,0.25915,0.17887,0.0849,2.08026,3.54812,1.93036,0.00134412,0.00134412,0.00134412
5,102.33,1.68298,2.21527,1.58861,0.24262,0.25369,0.20809,0.0995,2.01059,2.92781,1.89098,0.00131582,0.00131582,0.00131582
6,122.078,1.6428,2.12905,1.55046,0.28145,0.27231,0.21965,0.10845,2.02973,3.20469,1.85513,0.00128753,0.00128753,0.00128753
7,141.749,1.6426,2.1039,1.54882,0.26106,0.24463,0.23046,0.11494,2.03317,3.26727,1.88008,0.00125923,0.00125923,0.00125923
8,161.428,1.61481,2.06518,1.52076,0.26961,0.32098,0.24976,0.12594,1.97409,2.56369,1.87077,0.00123094,0.00123094,0.00123094
9,185.335,1.60727,2.00071,1.51878,0.30178,0.32892,0.27094,0.1327,2.00612,2.72291,1.84926,0.00120265,0.00120265,0.00120265
10,212.704,1.57321,1.95096,1.50655,0.30502,0.31583,0.27601,0.14627,1.97039,2.64557,1.84464,0.00117435,0.00117435,0.00117435
11,239.987,1.56917,1.93404,1.49993,0.31728,0.37009,0.30006,0.1508,1.9703,2.6406,1.86374,0.00114606,0.00114606,0.00114606
12,259.691,1.55264,1.8815,1.48946,0.37328,0.34796,0.30944,0.16522,1.92111,2.37665,1.81617,0.00111776,0.00111776,0.00111776
13,279.526,1.54618,1.83761,1.47956,0.33852,0.35677,0.30591,0.16139,1.87408,2.29271,1.78382,0.00108947,0.00108947,0.00108947
14,299.082,1.53801,1.84879,1.48252,0.31825,0.34806,0.29525,0.15334,1.88808,2.52226,1.82433,0.00106118,0.00106118,0.00106118
15,318.721,1.51788,1.84616,1.46201,0.3618,0.37161,0.31209,0.16264,1.86396,2.404,1.78026,0.00103288,0.00103288,0.00103288
16,338.382,1.51449,1.80893,1.46386,0.35965,0.34203,0.3055,0.16093,1.87931,2.5947,1.78257,0.00100459,0.00100459,0.00100459
17,357.964,1.52054,1.7964,1.46174,0.35218,0.41189,0.33054,0.17707,1.9095,2.40621,1.81126,0.000976293,0.000976293,0.000976293
18,377.541,1.51672,1.76315,1.45235,0.33504,0.37687,0.31471,0.16958,1.85576,2.59082,1.76511,0.000947999,0.000947999,0.000947999
19,403.477,1.5051,1.73252,1.45127,0.34808,0.40453,0.33805,0.18722,1.81449,2.54693,1.74819,0.000919704,0.000919704,0.000919704
20,430.767,1.49057,1.70805,1.43115,0.36761,0.39211,0.32843,0.17772,1.83879,2.29258,1.75922,0.00089141,0.00089141,0.00089141
21,458.255,1.4631,1.66611,1.4186,0.37926,0.40149,0.35533,0.19481,1.82016,2.29066,1.73413,0.000863116,0.000863116,0.000863116
22,485.624,1.46083,1.67096,1.41442,0.34011,0.39934,0.34303,0.18199,1.88728,2.55026,1.81722,0.000834822,0.000834822,0.000834822
23,513.05,1.45586,1.63921,1.41186,0.37859,0.39901,0.34335,0.18382,1.85105,2.28041,1.73299,0.000806528,0.000806528,0.000806528
24,537.539,1.45176,1.63578,1.3977,0.37865,0.43022,0.36492,0.19737,1.82659,2.25627,1.75869,0.000778233,0.000778233,0.000778233
25,557.15,1.44333,1.61532,1.40674,0.38202,0.38833,0.34125,0.18728,1.82502,2.25216,1.73482,0.000749939,0.000749939,0.000749939
26,576.738,1.43706,1.59355,1.39577,0.37527,0.41698,0.34384,0.1844,1.82541,2.20434,1.73767,0.000721645,0.000721645,0.000721645
27,596.33,1.4394,1.60516,1.40226,0.39357,0.36732,0.34132,0.18683,1.78586,2.14517,1.68974,0.000693351,0.000693351,0.000693351
28,616.056,1.43053,1.56351,1.39587,0.3624,0.4061,0.36194,0.19691,1.81305,2.27055,1.73279,0.000665057,0.000665057,0.000665057
29,635.872,1.42203,1.56048,1.39133,0.38041,0.38541,0.35953,0.19584,1.7786,2.15615,1.72328,0.000636762,0.000636762,0.000636762
30,655.437,1.40507,1.51211,1.37696,0.38886,0.40165,0.35941,0.19717,1.79882,2.20735,1.70248,0.000608468,0.000608468,0.000608468
31,674.949,1.40295,1.51471,1.37631,0.38862,0.45063,0.37433,0.20243,1.81573,2.21705,1.73969,0.000580174,0.000580174,0.000580174
32,694.608,1.3825,1.47735,1.35985,0.39729,0.41899,0.35684,0.19679,1.81176,2.16983,1.71627,0.00055188,0.00055188,0.00055188
33,714.184,1.38471,1.48726,1.36224,0.41773,0.4394,0.38976,0.21567,1.80235,2.13268,1.71612,0.000523586,0.000523586,0.000523586
34,733.706,1.37981,1.45775,1.35996,0.42569,0.43169,0.39369,0.21636,1.79494,2.34268,1.72593,0.000495291,0.000495291,0.000495291
35,753.366,1.3686,1.45155,1.35702,0.38179,0.45438,0.39453,0.21565,1.79464,2.13958,1.70925,0.000466997,0.000466997,0.000466997
36,772.934,1.37151,1.44832,1.35079,0.38953,0.44151,0.37952,0.2101,1.8124,2.13858,1.71965,0.000438703,0.000438703,0.000438703
